id:ID,names,size:int,labels:LABEL,rho:double
ATF6,ATF6,1636,gene:protein,0.6766465465909092
Calcium,Calcium,8533,drug,0.2054015438301512
CA2,CA2,10323,gene:protein,0.5802062734971432
endoplasmic_reticulum,endoplasmic reticulum,11775,cellular component,0.1037785927550997
homeostatic_process,homeostatic process,2068,biological process,0.504464858111285
ERN1,ERN1,5932,gene:protein,0.4726343646218491
maintenance_of_location,maintenance of location,1949,biological process,0.5020580535082306
XK,XK,21,gene:protein,0.5157557427272728
adult,adult,3514,enzyme source,0.1125694433374979
XBP1,XBP1,4538,gene:protein,0.6381623825319694
intracellular_anatomical_structure,intracellular anatomical structure,9852,cellular component,0.5043357562051655
CALR,CALR,2356,gene:protein,0.64312378495082
export_across_plasma_membrane,export across plasma membrane,1131,biological process,0.5022259127390181
calcium-mediated_signaling,calcium-mediated signaling,24,biological process,0.505100479
Carbenicillin,Carbenicillin,7,drug,0.647084945
IL17F,IL17F,2783,gene:protein,0.5904116495805741
EIF2AK3,EIF2AK3,2403,gene:protein,0.6615539156637169
spanning_component_of_plasma_membrane,spanning component of plasma membrane,2601,cellular component,0.5
Choline,Choline,198,drug,0.5096752532432431
CSNK2B,CSNK2B,4,gene:protein,0.6837238666666666
juvenile,juvenile,732,enzyme source,0.4538403736734691
mitochondrial_matrix,mitochondrial matrix,42,cellular component,0.5
biological_regulation,biological regulation,10817,biological process,0.50494932566058
bortezomib,bortezomib,19927,drug,0.5
dexamethasone,dexamethasone,10630,drug,0.5
vindesine,vindesine,151,drug,0.5
vincristine,vincristine,2450,drug,0.5
TDGF1,TDGF1,6407,gene:protein,0.557428383620862
doxorubicin,doxorubicin,5933,drug,0.5001671855009824
hand,hand,6941,enzyme source,0.5
MID1,MID1,12329,gene:protein,0.5962296414081525
epirubicin,epirubicin,309,drug,0.5
myeloid_neoplasm,myeloid neoplasm,23638,disease,0.5325225483655378
multiple_myeloma,multiple myeloma,14501,disease,0.2050978511782293
cyclophosphamide,cyclophosphamide,6276,drug,0.5
import_across_plasma_membrane,import across plasma membrane,9857,biological process,0.501642278839331
PARTICL,PARTICL,1596,gene,0.5
bronchiolitis,bronchiolitis,24,disease,0.5
